Date,Title,Company,Location,CTC Range,Experience,Starts,Link
2023-Dec-22,Junior Business Analyst,Drona Pay Private Limited,Mumbai,"₹ 3,00,000 - 4,00,000                                

                                ₹ 3,00,000 - 4,00,000 /year",0-2 years,No Info,https://internshala.comJunior Business Analyst
2023-Dec-22,Business Analyst (Stock Market),Investobazar Wealth Nivesh Pvt Ltd,Indore,"₹ 2,22,000 - 3,00,000                                

                                ₹ 2,22,000 - 3,00,000 /year",0-2 years,No Info,https://internshala.comBusiness Analyst (Stock Market)
2023-Dec-22,Trainee Engineer,Impressico Business Solutions,Hyderabad,"₹ 3,00,000                                

                                ₹ 3,00,000 /year",0-2 years,No Info,https://internshala.comTrainee Engineer
2023-Dec-22,Management Trainee - Analytics,Haicheng Mobile Private Limited,Delhi,"₹ 3,00,000 - 3,50,000                                

                                ₹ 3,00,000 - 3,50,000 /year",0-2 years,No Info,https://internshala.comManagement Trainee - Analytics
2023-Dec-22,AWS Data Engineer,Teqtous,Chennai,"₹ 3,00,000 - 6,00,000                                

                                ₹ 3,00,000 - 6,00,000 /year",0-5 years,No Info,https://internshala.comAWS Data Engineer
2023-Dec-22,Business Analyst,Vijatshi Software Private Limited,Noida,"₹ 2,00,000 - 3,00,000                                

                                ₹ 2,00,000 - 3,00,000 /year",0-2 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Revenue Associate,Atica Global,Pune,"₹ 4,00,000 - 4,80,000                                

                                ₹ 4,00,000 - 4,80,000 /year",0-2 years,No Info,https://internshala.comRevenue Associate
2023-Dec-22,Research & Data Analyst,M P Jain Tubing Solutions LLP,Mumbai,"₹ 2,00,000                                

                                ₹ 2,00,000 /year",0-2 years,No Info,https://internshala.comResearch & Data Analyst
2023-Dec-22,Data Analytics Manager,Suprem Service,Work from home,"₹ 4,00,000 - 6,00,000                                

                                ₹ 4,00,000 - 6,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Manager
2023-Dec-22,Business Analyst,NCML - National Commodities Management Services Limited,Gurgaon,"₹ 3,00,000 - 4,20,000                                

                                ₹ 3,00,000 - 4,20,000 /year",0-2 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Data Analytics Executive,Suprem Service,Work from home,"₹ 4,00,000 - 7,00,000                                

                                ₹ 4,00,000 - 7,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Business Analyst,Dough One Sources Private Limited,Delhi,"₹ 2,00,000 - 4,00,000                                

                                ₹ 2,00,000 - 4,00,000 /year",0-2 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Data Analyst - R Programming,MyNalanda Solutions & Services Private Limited,Pune,"₹ 2,40,000 - 4,00,000                                

                                ₹ 2,40,000 - 4,00,000 /year",0-2 years,No Info,https://internshala.comData Analyst - R Programming
2023-Dec-22,Data Analytics Specialist,Zenrate Technologies Private Limited,Gurgaon,"₹ 2,00,000 - 2,40,000                                

                                ₹ 2,00,000 - 2,40,000 /year",0-2 years,No Info,https://internshala.comData Analytics Specialist
2023-Dec-22,Data Analytics Executive,Pioneer Insurance & Reinsurance Brokers Private Limited,Bangalore,"₹ 8,00,000 - 12,00,000                                

                                ₹ 8,00,000 - 12,00,000 /year",0-5 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Equity Research Analyst,PeakNorth Investments Private Limited,Work from home,"₹ 3,00,000 - 6,00,000                                

                                ₹ 3,00,000 - 6,00,000 /year",0-5 years,No Info,https://internshala.comEquity Research Analyst
2023-Dec-22,Data Analytics Executive,Fatehpuria Retail Technologies Pvt Ltd,Alwar,"₹ 2,00,000 - 2,25,000                                

                                ₹ 2,00,000 - 2,25,000 /year",0-2 years,No Info,https://internshala.comData Analytics Executive
2023-Dec-22,Business Analyst,The Ishtehaar,Work from home,"₹ 2,00,000 - 3,00,000                                

                                ₹ 2,00,000 - 3,00,000 /year",0-2 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Business Analyst,Super Scholar,Mumbai,"₹ 3,00,000 - 6,00,000                                

                                ₹ 3,00,000 - 6,00,000 /year",0-5 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Business Analysis (Technical),Across The Globe (ATG),Work From Home,No Info,No Info,No Info,https://internshala.comBusiness Analysis (Technical)
2023-Dec-22,Associate Product Analyst,Subex,Bangalore,"₹ 3,00,000 - 5,50,000                                

                                ₹ 3,00,000 - 5,50,000 /year",0-5 years,No Info,https://internshala.comAssociate Product Analyst
2023-Dec-22,Data Analyst,Greentern,Work from home,"₹ 4,00,000                                

                                ₹ 4,00,000 /year",0-2 years,No Info,https://internshala.comData Analyst
2023-Dec-22,Business Analytics,FoodNEST(S) Technologies Private Limited,Lucknow,No Info,No Info,No Info,https://internshala.comBusiness Analytics
2023-Dec-22,Data Annotation Analytics,Bilateral Solutions Private Limited,Mandi,No Info,No Info,No Info,https://internshala.comData Annotation Analytics
2023-Dec-22,Business Analyst,Markestac,Mohali,"₹ 2,00,000 - 5,00,000                                

                                ₹ 2,00,000 - 5,00,000 /year",0-5 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Business Analyst,TwinLine Business Solutions Private Limited,Gurgaon,"₹ 3,00,000 - 8,00,000                                

                                ₹ 3,00,000 - 8,00,000 /year",0-5 years,No Info,https://internshala.comBusiness Analyst
2023-Dec-22,Data Analytics,Primary Healthtech,Guwahati,No Info,No Info,No Info,https://internshala.comData Analytics
2023-Dec-22,Business Analytics,Electrovese Solutions Private Limited,Chandigarh,No Info,No Info,No Info,https://internshala.comBusiness Analytics
2023-Dec-22,Associate Business Analyst,SAPDS Technologies Private Limited,Work from home,"₹ 3,00,000                                

                                ₹ 3,00,000 /year",0-2 years,No Info,https://internshala.comAssociate Business Analyst
2023-Dec-22,Data Analytics Associate,Valuetech Solutions,Mumbai,"₹ 2,00,000 - 2,00,001                                

                                ₹ 2,00,000 - 2,00,001 /year",0-2 years,No Info,https://internshala.comData Analytics Associate
2023-Dec-22,Operation Analyst,Ekostay LLP,Mumbai,"₹ 2,00,000 - 2,16,000                                

                                ₹ 2,00,000 - 2,16,000 /year",0-2 years,No Info,https://internshala.comOperation Analyst
2023-Dec-22,Business Analytics,Servosys Solutions,Mumbai,No Info,No Info,No Info,https://internshala.comBusiness Analytics
2023-Dec-22,Data Analytics Associate,Zydus Life Sciences Pvt Ltd,Ahmedabad,"₹ 5,20,000 - 7,50,000                                

                                ₹ 5,20,000 - 7,50,000 /year",0-5 years,No Info,https://internshala.comData Analytics Associate
2023-Dec-22,Business Analytics,Tercept Incorporation,Bangalore,No Info,No Info,No Info,https://internshala.comBusiness Analytics
2023-Dec-22,Data Analytics Executive,Luminos Technology,Work from home,"₹ 4,00,000 - 6,00,000                                

                                ₹ 4,00,000 - 6,00,000 /year",0-1 years,No Info,https://internshala.comData Analytics Executive
